title,rating,year,length
Back to the Future (1982),5.2,1984,101
The Revenant (1994),8.9,2013,165
The Lion King (1987),5.7,1980,195
The Social Network (1987),5.3,2011,125
Oppenheimer (2007),5.8,2023,208
Shutter Island (2021),8.7,2023,113
The Grand Budapest Hotel (1980),7.1,1998,140
Everything Everywhere All at Once (2017),5.7,1983,164
The Lord of the Rings: The Return of the King (2023),8.0,1981,186
Shang-Chi and the Legend of the Ten Rings (2012),8.3,1998,134
Upgraded (2003),9.6,1980,199
Inglourious Basterds (2008),5.4,2008,98
Ratatouille (2006),7.4,2017,145
Django Unchained (1981),7.4,2023,154
Wall-E (2005),9.1,2016,108
Spirited Away (2012),8.4,2016,117
Zootopia (2011),5.9,1983,118
Pulp Fiction (2017),7.2,1983,99
Eternals (2005),8.1,2005,121
Ratatouille (1999),6.5,2015,99
The Prestige (1998),7.2,1998,135
Parasite (2000),8.6,1992,196
Zootopia (2010),9.2,1995,139
Braveheart (2023),6.5,2001,203
A Quiet Place (2004),6.9,1992,205
The Social Network (1988),6.7,1993,139
The Green Mile (2008),9.1,1999,159
The Prestige (2021),9.3,2021,132
Braveheart (2016),8.4,1981,183
Doctor Strange (2016),5.1,1983,182
Mission Impossible (2024),8.1,2004,135
12 Angry Men (1987),5.9,2014,143
1917 (1995),6.7,2024,180
The Prestige (1983),6.0,2021,112
The Grand Budapest Hotel (1980),5.4,2000,99
Interstellar (1992),9.2,2020,166
No Time to Die (2007),8.3,2016,169
Deadpool (2000),9.7,1985,160
The Incredibles (2014),8.9,2008,188
Guardians of the Galaxy (1989),9.1,2020,101
Zootopia (2003),6.3,1992,197
Shang-Chi and the Legend of the Ten Rings (2006),9.0,2010,206
A Quiet Place (1998),9.9,2006,190
Doctor Strange in the Multiverse of Madness (2012),7.8,1981,122
Shrek (1987),5.3,2009,152
The Godfather (1989),8.0,1993,125
Guardians of the Galaxy (1988),8.9,2000,162
Zootopia (1983),5.2,2022,92
12 Angry Men (2005),7.0,1980,114
Goodfellas (1996),8.4,2014,141
Interstellar (1985),6.9,1992,91
Ratatouille (1987),8.5,2024,195
Fight Club (1981),5.0,1997,131
The Revenant (1998),7.8,2007,152
A Quiet Place (1996),7.9,2011,162
Ant-Man (2012),8.6,1996,120
The Batman (1986),5.3,1993,123
Venom (2020),8.1,1989,109
Ant-Man (1998),5.3,1997,93
Tenet (2019),8.6,2002,142
Blade Runner 2049 (2013),9.5,2022,165
The Usual Suspects (2008),8.1,1987,184
Titanic (2020),7.4,1994,195
Whiplash (1993),9.2,2002,126
The Prestige (2003),5.4,1989,126
Pulp Fiction (1982),7.4,2002,144
The Departed (2008),6.8,1999,185
Inside Out (1996),8.1,2022,96
The Pianist (1987),8.4,2008,176
